region,mean_infant_mortality,mean_maternal_mortality,mean_life_expectancy
Africa,39.167272727272724,292.1296296296296,67.32000000000001
Australia and Oceania,12.62,94.71428571428571,76.355
Central America and the Caribbean,11.4625,69.23809523809524,77.8375
Central Asia,17.122222222222224,18.11111111111111,73.82222222222222
East and Southeast Asia,14.19,77.6470588235294,76.79
Europe,4.408163265306123,7,80.26530612244898
Middle East,12.93125,22.9375,77.1625
North America,6.516666666666667,23.666666666666668,79.75
South America,14.325,73.33333333333333,75.325
South Asia,27.7125,138.75,71.125
