"country","variable","region"
"Nigeria",993,"Africa"
"Chad",748,"Africa"
"South Sudan",692,"Africa"
"Central African Republic",692,"Africa"
"Liberia",628,"Africa"
"Somalia",563,"Africa"
"Afghanistan",521,"South Asia"
"Benin",518,"Africa"
"Guinea-Bissau",505,"Africa"
"Guinea",494,"Africa"
"Lesotho",478,"Africa"
"Madagascar",445,"Africa"
"Congo, Democratic Republic of the",427,"Africa"
"Burundi",392,"Africa"
"Mauritania",381,"Africa"
"Kenya",379,"Africa"
"Mali",367,"Africa"
"Cote d'Ivoire",359,"Africa"
"Zimbabwe",358,"Africa"
"Gambia, The",354,"Africa"
"Sierra Leone",354,"Africa"
"Niger",350,"Africa"
"Togo",349,"Africa"
"Haiti",328,"Central America and the Caribbean"
"Eritrea",291,"Africa"
"Tanzania",276,"Africa"
"Nauru",273,"Australia and Oceania"
"Cameroon",258,"Africa"
"Sudan",256,"Africa"
"Burkina Faso",242,"Africa"
"Congo, Republic of the",241,"Africa"
"Senegal",237,"Africa"
"Ghana",234,"Africa"
"Gabon",233,"Africa"
"Rwanda",229,"Africa"
"Venezuela",227,"South America"
"Malawi",225,"Africa"
"Ethiopia",195,"Africa"
"Timor-Leste",192,"East and Southeast Asia"
"Papua New Guinea",189,"East and Southeast Asia"
"Burma",185,"East and Southeast Asia"
"Angola",183,"Africa"
"Comoros",179,"Africa"
"Equatorial Guinea",174,"Africa"
"Uganda",170,"Africa"
"Tuvalu",170,"Australia and Oceania"
"Djibouti",162,"Africa"
"Pakistan",155,"South Asia"
"Marshall Islands",155,"Australia and Oceania"
"Botswana",155,"Africa"
"Bolivia",146,"South America"
"Nepal",142,"South Asia"
"Indonesia",140,"East and Southeast Asia"
"Namibia",139,"Africa"
"Cambodia",137,"East and Southeast Asia"
"Jamaica",130,"Central America and the Caribbean"
"Micronesia, Federated States of",129,"Australia and Oceania"
"Dominican Republic",124,"Central America and the Caribbean"
"Solomon Islands",123,"Australia and Oceania"
"South Africa",118,"Africa"
"Eswatini",118,"Africa"
"Yemen",118,"Middle East"
"Bangladesh",115,"South Asia"
"Laos",112,"East and Southeast Asia"
"Samoa",101,"Australia and Oceania"
"Vanuatu",100,"Australia and Oceania"
"Guatemala",94,"Central America and the Caribbean"
"Palau",89,"Australia and Oceania"
"Zambia",85,"Africa"
"Philippines",84,"East and Southeast Asia"
"Suriname",84,"South America"
"Mozambique",82,"Africa"
"Kiribati",80,"Australia and Oceania"
"India",80,"South Asia"
"Bahamas, The",76,"Central America and the Caribbean"
"Guyana",75,"South America"
"Sao Tome and Principe",75,"Africa"
"Saint Kitts and Nevis",74,"Central America and the Caribbean"
"Morocco",70,"Africa"
"Belize",67,"Central America and the Caribbean"
"Korea, North",67,"East and Southeast Asia"
"Tonga",67,"Australia and Oceania"
"Brazil",67,"South America"
"Iraq",66,"Middle East"
